year,mileage,tax,mpg,engineSize,price
2019,7897,145,47.9,2,25499
2016,24744,125,56.5,3,15500
2015,30075,160,51.4,2,16200
2017,12577,30,58.9,1.4,14000
2016,24421,30,61.4,2,17300
2016,15567,0,76.3,1.6,10600
2018,15207,145,51.4,1.4,17500
2017,14864,145,52.3,1.4,15000
2019,9000,145,38.7,2,25499
2019,5000,145,38.7,2,25000
2019,4264,145,33.2,2,31000
2019,4000,145,42.8,2,28000
2019,4000,145,42.2,1.5,28000
2019,2721,145,49.6,1.6,21499
2019,4000,145,42.2,1.5,26000
2016,49649,235,42.2,3,30000
2017,14068,145,51.4,1.4,17000
2017,23092,145,52.3,1.4,14500
2017,30682,160,50.4,2,17500
2016,18272,0,67.3,1,10500
2017,23714,145,68.9,1.6,14800
2016,71311,30,61.4,2,12000
2018,29477,145,61.4,2,22000
2016,60551,200,47.1,2,17800
2017,42071,30,61.4,2,19800
2014,55774,235,44.8,3,19500
2016,36462,0,76.3,1.6,9800
2016,25376,30,57.6,1.4,15500
2017,39388,145,67.3,2,16800
2017,64207,20,67.3,2,11500
2017,49221,145,55.4,1.4,12100
2017,27179,0,76.3,1.6,12700
2014,31376,125,58.9,2,11700
2015,62668,145,53.3,2,11500
2017,10001,145,51.4,1.4,17400
2016,52544,30,61.4,2,16000
2016,63097,125,49.6,2,13100
2016,72967,30,61.4,2,14700
2017,32771,145,70.6,2,21100
2018,13303,145,40.4,2,24400
2019,2752,145,44.8,1.5,18750
2016,23307,160,49.6,2,16500
2017,34551,150,67.3,1,11000
2017,25457,150,68.9,1.6,13400
2018,12167,150,50.4,1.4,20000
2015,23237,20,67.3,2,15400
2016,11863,160,50.4,2,15500
2017,21225,145,72.4,2,14800
2015,32083,30,61.4,2,17100
2017,17039,145,55.4,2,25750
2016,72026,0,74.3,2,11750
2017,34824,0,67.3,1,11200
2017,20351,30,55.4,1.4,12800
2017,58028,145,52.3,2,16000
2017,44783,145,62.8,2,20000
2014,60604,20,67.3,2,11950
2013,39998,30,65.7,2,9400
2017,20852,30,65.7,2,20000
2016,79728,30,64.2,2,13300
2017,29095,20,64.2,2,18500
2013,98940,0,74.3,1.6,8300
2016,22780,30,58.9,1.4,13500
2018,20832,150,47.1,2,19800
2016,29196,145,55.4,2,15400
2017,14392,145,53.3,1.4,13900
2018,20070,145,52.3,1.4,15600
2016,89334,30,62.8,3,16200
2016,21428,0,67.3,1,10600
2016,45485,20,70.6,2,14300
2016,32704,30,60.1,2,14700
2018,42209,145,42.2,2,19100
2017,17278,145,48.7,1.4,18100
2017,29515,0,67.3,1,11400
2014,43662,20,67.3,2,11600
2017,45225,145,62.8,2,17300
2017,45491,30,61.4,2,16400
2014,52267,235,37.7,2,17100
2014,40807,125,50.4,1.8,11498
2014,65959,160,49.6,2,11698
2014,47648,260,35.8,2,18998
2017,27948,145,40.9,2,25498
2013,31169,145,49.6,1.8,10498
2013,42011,145,47.1,2,9498
2015,56115,160,50.4,3,19998
2015,65835,125,61.4,2,16798
2017,63383,145,45.6,3,23998
2017,34011,145,34,3,36998
2014,52132,160,49.6,3,13998
2015,38787,145,55.4,2,15995
2017,34554,150,55.4,1.4,13495
2017,17502,145,40.4,2,30985
2019,3000,145,40.9,2,29485
2015,34646,30,61.4,2,16985
2017,18000,150,56.5,2,26485
2018,17085,150,47.9,1.4,23985
2017,48166,20,72.4,1.6,12485
2015,38421,205,47.1,2,22485
2015,46637,30,61.4,2,16498
2016,24468,0,74.3,1.6,11998
2017,29343,200,47.1,2,24985
2019,8449,145,51.4,1.6,17985
2017,34679,30,65.7,2,20485
2018,23860,145,60.1,1,16985
2018,21009,145,35.8,3,30985
2019,1881,145,47.9,2,29985
2019,688,145,47.9,2,27985
2019,1863,145,47.9,2,30985
2020,10,145,33.2,3,62985
2016,49050,325,29.4,4,44985
2019,1024,145,38.7,2,28985
2019,448,145,39.8,2,24985
2019,476,145,39.2,2,26985
2019,5201,145,38.7,3,39985
2019,2028,145,42.2,1.5,21985
2019,3241,145,39.2,3,45485
2019,355,145,39.2,2,33985
2019,18,145,39.8,2,28985
2019,3122,145,41.5,1.5,29985
2019,824,145,40.9,1.5,28985
2019,2811,145,47.9,2,31985
2019,27,145,50.4,2,31985
2019,4254,145,38.2,2,29485
2019,2252,145,48.7,1,17985
2019,3422,145,47.9,1.6,20985
2019,37,145,47.9,1.6,23685
2019,7299,145,38.2,2,27985
2019,1414,145,40.9,1.5,27985
2019,5135,145,38.2,2,36985
2019,6024,145,38.2,2,37985
2020,10,145,32.1,2,37985
2019,10,145,33.2,3,49985
2019,10,145,33.2,3,59995
2020,10,145,30.7,2,47895
2020,10,145,42.2,2,31985
2015,47606,200,47.9,3,29985
2015,26625,30,57.6,1.4,12485
2018,5071,145,50.4,2,24985
2015,28011,260,34.9,3,21985
2019,10,145,47.1,2,34985
2019,10,145,51.4,2,29985
2019,10,145,47.1,2,34485
2019,10,145,49.6,1,19685
2019,10,145,53.3,2,34985
2019,10,145,38.2,3,43885
2019,2000,145,47.9,2,35895
2019,10,145,43.5,1.5,26985
2019,3510,145,36.2,3,46985
2019,10,145,44.8,1.5,23985
2019,10,145,39.8,2,28985
2019,1010,145,39.8,2,27985
2019,500,145,47.9,2,28985
2019,10,145,42.8,2,29985
2019,10,145,54.3,1.6,21995
2019,10,145,39.8,2,31985
2019,10,145,51.4,2,32485
2019,10,145,51.4,1.6,21285
2019,1510,145,33.2,3,56985
2019,10,145,30.1,2.5,43785
2016,29845,160,45.6,2,18498
2014,27355,160,42.8,1.8,14995
2016,20885,30,64.2,2,17998
2014,10534,30,56.5,1.2,10985
2016,25895,20,70.6,2,12995
2016,32867,0,67.3,1,11495
2015,42793,205,47.1,2,18295
2015,49039,160,50.4,3,18998
2017,22501,145,64.2,1.6,18485
2017,1420,145,50.4,3,38985
2019,10,145,40.4,2,29485
2017,26939,145,62.8,2,22998
2014,24786,205,47.9,3,18998
2017,18761,145,51.4,1.4,17698
2019,10,145,40.4,2,27995
2019,10,145,42.8,2,31985
2019,10,145,38.7,2,30995
2017,22295,30,56.5,1.4,18998
2017,18068,145,52.3,1.4,16995
2018,25000,150,42.2,1.5,19995
2017,23043,150,55.4,1,14495
2014,80902,125,60.1,2,12998
2019,10,145,50.4,2,32485
2019,10,145,48.7,1,20485
2019,10,145,47.1,2,34485
2016,26474,145,52.3,2,18698
2013,65458,235,44.1,3,15998
2018,34170,150,47.1,1.8,16498
2019,100,145,33.2,2,31998
2019,650,145,47.1,2,35985
2019,10,145,38.2,2,37985
2019,10,145,33.2,2,31998
2019,2928,145,41.5,2,18998
2018,7157,145,51.4,1.4,19485
2016,31600,160,50.4,2,19995
2016,46600,300,39.2,4,47995
2019,10,145,56.5,2,23485
2018,14078,145,45.6,2,23998
2015,13312,125,57.6,2,17998
2018,10,145,50.4,2,28985
2015,20982,325,29.4,4,46000
2018,15600,145,50.4,2,26995
2019,5429,145,47.9,2,33985
2019,2710,145,40.9,1.5,30985
2019,6423,145,33.2,3,52985
2017,11017,150,67.3,1,12698
2017,16908,125,51.4,1.4,17298
2017,28801,125,49.6,2,16498
2017,23362,145,50.4,1.4,16798
2013,50025,235,37.7,2,15998
2018,8450,145,32.8,3,63985
2018,1790,145,50.4,2,27985
2018,10,145,53.3,1.4,19485
2018,10,145,52.3,1.4,20985
2018,6754,145,52.3,1.6,22285
2014,35423,200,47.9,2,14500
2017,16703,200,41.5,2,25000
2017,37203,125,51.4,1.4,15800
2013,44405,125,58.9,2,13500
2014,79389,165,50.4,2,12000
2015,61808,125,57.6,2,13800
2016,10491,0,67.3,1,11000
2018,19000,150,49.6,2,19995
2016,18900,0,67.3,1,11650
2014,50900,20,68.9,2,11850
2013,49000,325,29.7,2,12495
2015,23081,235,39.8,2,15995
2020,826,145,29.4,4,82995
2019,5987,145,38.2,2,25990
2019,2977,145,47.9,2,30995
2019,7573,145,39.2,2,34985
2019,3055,145,42.8,2,31995
2019,22,145,38.7,2,29985
2019,2250,145,51.4,2,28485
2016,20547,200,47.1,2,21498
2019,10,145,39.2,2,32895
2016,18828,260,35.8,3,22998
2019,28,145,32.1,2,35998
2016,38654,200,47.9,3,29985
2014,25764,200,40.4,2,16485
2016,28402,30,62.8,2,19485
2015,17152,30,56.5,1.4,13495
2016,29775,20,60.1,1.4,14995
2017,7801,145,34,3,39995
2015,60599,240,42.8,3,22990
2017,20670,30,57.6,1.4,12495
2019,2257,145,52.3,1.6,24985
2019,4039,145,51.4,1.6,24485
2016,21241,125,52.3,1.4,16485
2016,16945,160,49.6,2,20485
2018,18010,145,49.6,1.4,24985
2017,29653,145,62.8,2,19995
2014,75159,260,34.9,3,16000
2014,33842,200,47.9,2,14998
2015,42977,20,67.3,2,13995
2019,26,145,47.9,2,27990
2016,17454,0,67.3,1,11995
2018,17547,150,56.5,1.5,15995
2020,314,150,34.9,2,35995
2016,25010,30,58.9,1.4,13585
2019,3278,145,47.9,2,31985
2019,1285,145,39.2,3,32985
2019,4445,145,47.9,2,30985
2020,6998,145,38.2,2,34798
2020,6746,145,45.6,2,40780
2015,21245,205,47.9,3,34995
2017,27394,30,64.2,2,18995
2016,29283,0,67.3,1,12995
2016,20905,30,56.5,1.4,14495
2017,24386,0,67.3,1,12995
2017,11621,150,42.8,2,24995
2019,3409,145,43.5,1.5,20985
2016,30172,240,42.2,3,31995
2015,27016,30,62.8,2,13995
2020,7456,145,40.9,2,31985
2019,20,145,55.4,3,29490
2019,4781,150,40.9,2,20495
2016,40254,205,40.4,2,21995
2019,12320,150,40.9,2,24995
2018,16534,150,49.6,1.4,23995
2017,20075,150,42.2,2,22995
2016,14401,20,60.1,1,15995
2016,19430,145,47.9,2,19995
2013,28359,565,26.4,4.2,26995
2019,16385,150,33.6,3,49995
2014,24764,0,74.3,1.6,11995
2014,26141,125,53.3,1.4,11995
2020,7532,145,39.2,2,37331
2020,7925,145,45.6,2,39454
2020,7639,145,39.8,2,37507
2020,7914,145,48.7,2,33462
2018,15706,145,40.4,2,30995
2019,4598,145,38.2,2,25990
2018,6588,145,48.7,3,38995
2016,48248,205,47.9,3,31995
2019,4549,150,34.5,2,30995
2019,7564,145,51.4,1,18995
2018,11276,145,48.7,3,41995
2016,20141,30,67.3,2,19995
2016,16555,20,60.1,1.4,16995
2017,8608,145,67.3,1,14495
2017,18380,145,49.6,1.4,19995
2017,27136,145,40.4,2,23995
2016,36409,20,60.1,1.4,13995
2017,35219,150,50.4,3,27995
2018,10252,150,40.4,2,33995
2018,16380,145,67.3,1.6,17490
2015,30530,30,64.2,2,14990
2016,37129,235,42.2,3,30995
2017,36400,20,61.4,1.4,13995
2018,8618,145,32.8,3,47995
2018,9634,145,50.4,1.4,21995
2017,18355,145,68.9,1.6,19995
2017,28604,145,40.9,2,26995
2017,15187,145,76.3,1.6,15995
2015,43417,160,50.4,2,18990
2018,12195,145,50.4,3,35995
2018,12686,145,58.9,3,27995
2019,5356,145,44.1,1.5,23995
2020,7963,145,41.5,2,31265
2020,7423,145,51.4,2,36312
2017,12148,145,67.3,1,13995
2016,44525,235,42.2,3,31995
2016,20952,145,55.4,2,18495
2019,4582,145,39.2,3,33490
2014,36970,200,47.9,2,19995
2015,38244,145,49.6,1.4,17995
2015,26407,200,47.9,3,31995
2019,6484,145,49.6,1.6,23995
2019,3325,145,49.6,1.6,20995
2017,9078,145,40.4,2,24995
2017,22427,145,67.3,1,12995
2015,41755,150,53.3,2,14995
2015,35455,30,58.9,1.4,12490
2017,14607,20,60.1,1,14298
2016,24952,30,55.4,1.4,11498
2014,49640,30,64.2,2,11998
2017,21576,145,49.6,1.4,19998
2017,20870,145,55.4,2,27995
2017,30300,30,62.8,2,19995
2016,22353,160,49.6,2,19995
2016,23205,145,55.4,2,19995
2017,15361,30,55.4,1.4,13995
2019,8598,145,47.9,2,29995
2019,6000,145,52.3,1.6,19990
2019,5199,145,52.3,1.6,19990
2018,15092,145,57.7,1.4,14995
2017,3059,145,43.5,2,36990
2016,28475,200,40.9,2,24995
2013,35804,30,54.3,1.4,11490
2017,24000,30,60.1,1.4,18495
2019,3264,145,33.6,3,46990
2019,2868,145,52.3,1.6,23995
2019,6541,145,47.9,2,27990
2019,4511,145,38.2,2,36990
2017,27057,145,47.9,1.4,18995
2013,42185,145,55.4,2,12990
2015,59120,200,47.1,2,17995
2016,41431,160,52.3,2,16498
2019,30,145,33.2,2,31998
2019,5065,145,38.2,2,36995
2019,4638,145,38.2,2,36995
2017,34926,325,29.4,4,57995
2018,4642,145,46.3,1.6,22890
2015,29558,20,67.3,2,16995
2019,4899,145,47.9,2,33298
2017,17000,20,60.1,1.4,15995
2017,51204,145,56.5,2,20995
2013,38776,30,56.5,1.4,14995
2017,21972,145,49.6,1.4,19995
2018,17648,145,34.5,2.5,39995
2017,5674,145,52.3,1.4,22995
2017,22086,145,62.8,2,24995
2019,10090,145,37.7,3,39995
2015,20825,145,47.9,1.4,19995
2015,20042,30,57.6,1.4,12995
2019,3657,145,49.6,1.6,22663
2019,4502,145,47.9,1.6,24368
2017,31214,30,67.3,2,19495
2018,16414,145,50.4,1.4,19990
2018,27198,145,50.4,1.4,21495
2018,17166,145,43.5,2,28995
2018,18283,145,44.1,2,26990
2018,15076,145,56.5,2,27995
2017,29330,145,56.5,2,25995
2017,25520,145,50.4,1.4,19995
2020,7521,145,49.6,2,38534
2019,933,145,45.6,2,41995
2019,6018,145,52.3,1.6,19990
2019,11330,145,42.8,1.5,18495
2016,23478,235,42.2,3,33995
2017,17872,145,64.2,1.6,18995
2019,4327,145,39.8,2,30709
2019,4813,145,33.2,3,48136
2019,3578,145,47.9,1.6,24365
2019,4196,145,47.9,2,33295
2015,32065,30,55.4,1.4,13995
2017,15072,200,47.1,3,28995
2017,50286,145,61.4,2,16490
2017,25667,145,40.4,2,23995
2017,33165,200,47.9,3,35995
2017,27078,125,50.4,1.4,19995
2017,29874,125,50.4,1.4,19995
2015,28977,200,47.1,2,21995
2016,28526,160,50.4,2,21995
2017,14068,145,54.3,2,22995
2018,6321,145,50.4,2,18990
2018,4440,145,37.7,3,40990
2019,2085,145,51.4,1.6,23995
2019,2712,145,38.2,2,37995
2019,3968,145,47.9,2,33410
2019,6921,145,47.1,1,22997
2015,50062,30,57.6,1.2,14995
2015,31500,30,57.6,1.4,11995
2015,21807,30,57.6,1.4,12995
2019,7215,145,46.3,2,27990
2019,5397,145,50.4,2,29990
2019,4963,145,42.8,1.5,23377
2017,13688,200,40.4,2,25995
2017,19735,30,57.6,1.4,18995
2017,22175,145,47.9,1.4,20995
2018,13907,145,49.6,1.4,23995
2018,20106,145,67.3,1,14495
2018,7891,145,40.9,2,30995
2019,4836,145,48.7,2,26490
2019,4587,145,37.2,2,34259
2019,5721,145,37.2,2,35131
2019,4236,145,33.2,3,50414
2015,18188,200,47.1,2,21995
2016,41497,125,57.6,2,16995
2016,13961,30,58.9,1.4,14995
2019,10852,145,47.9,2,30990
2019,10059,145,43.5,1.5,18490
2019,5985,145,43.5,1.5,18490
2019,6214,145,38.7,2,26490
2019,5089,145,30.1,2.9,59995
2019,2756,145,42.2,1,24995
2019,4982,145,47.9,2,29490
2016,41505,20,67.3,2,17495
2017,26494,145,47.9,1.4,20995
2017,23655,30,55.4,1.4,14495
2019,3382,145,30.1,2.9,58995
2018,17789,145,54.3,1.5,19995
2019,5023,145,47.9,2,33640
2019,6238,145,37.7,3,53939
2019,4520,145,39.8,2,30719
2019,5210,145,39.8,2,30197
2019,3256,145,40.4,2,27022
2019,5201,145,44.1,2,37560
2019,28,145,33.6,3,49990
2017,25747,0,67.3,1,12495
2017,27000,145,55.4,1.4,14995
2016,51562,235,42.8,3,24490
2016,40030,0,83.1,1.6,13995
2016,43099,145,56.5,2,19495
2017,18842,145,55.4,1,17995
2016,31894,30,64.2,3,19995
2019,5712,145,51.4,2,30728
2015,38540,125,58.9,2,18995
2017,25552,30,56.5,1.4,13995
2015,72283,145,54.3,3,18495
2016,22809,235,42.2,3,34995
2017,16103,145,65.7,2,19995
2016,23745,30,57.6,1.4,13495
2016,29593,30,62.8,2,16995
2014,15300,125,53.3,1.4,13995
2018,9185,145,48.7,1.4,25995
2019,1592,145,39.2,1.5,25995
2016,45644,0,80.7,1.6,10995
2019,4488,145,33.6,3,48995
2016,29156,235,42.2,3,33995
2015,15837,30,58.9,1.4,12298
2016,15264,30,61.4,2,15998
2018,8211,150,49.6,1.6,18998
2017,10962,145,50.4,1.4,21995
2016,42187,235,42.8,3,28995
2017,8128,30,55.4,1.4,15995
2016,55697,20,70.6,2,13985
2015,35446,145,54.3,2,13995
2016,30366,160,50.4,2,18499
2017,32090,145,40.4,2,27498
2015,19300,145,47.9,1.4,15998
2016,37478,0,74.3,2,13998
2019,6266,145,38.2,2,24998
2016,8577,30,55.4,1.4,13995
2018,13147,145,67.3,1.6,18995
2017,24336,145,61.4,2,22995
2018,23813,145,55.4,1,17495
2017,17633,145,52.3,1.4,21995
2015,55220,30,64.2,2,16995
2017,47952,145,56.5,2,22995
2014,50500,235,44.1,3,19995
2016,31147,30,56.5,1.4,15495
2019,79,150,46.3,2,25998
2015,56875,150,53.3,2,14500
2015,37056,160,53.3,2,18995
2018,5431,145,34,2.5,39995
2016,31031,30,56.5,1.4,13995
2015,34906,160,49.6,3,17995
2017,14821,145,64.2,3,21995
2016,15307,30,55.4,1.4,15495
2016,23626,160,45.6,2,19995
2016,11892,0,67.3,1,12995
2016,42165,30,56.5,1.4,12995
2019,3036,145,34.5,2,31795
2019,2703,145,40.9,3,39995
2016,41032,300,39.2,4,48995
2018,8545,145,53.3,1.6,21495
2016,30287,20,60.1,1.4,13498
2016,1893,20,60.1,1.4,14998
2017,6896,145,52.3,1.4,16998
2016,34084,30,62.8,2,15498
2017,84222,20,68.9,2,13985
2015,68428,0,83.1,1.6,10385
2018,20283,150,34,3,37500
2016,56235,0,74.3,2,11500
2017,37492,205,47.1,3,24500
2015,66959,265,41.5,3,21500
2014,46622,205,47.9,2,16000
2013,40003,145,56.5,2,11995
2018,20300,145,34,3,38900
2019,50,145,40.4,2,24498
2016,23426,125,50.4,1.4,19995
2015,46465,30,54.3,1.4,14995
2018,14600,145,55.4,2,29995
2019,3232,145,50.4,1,23995
2017,16086,30,55.4,1.4,15995
2017,15981,145,57.6,1.4,13995
2018,6850,145,38.2,3,38995
2017,16668,145,70.6,1.6,18995
2018,13082,145,39.8,3,35995
2019,10522,145,43.5,1.5,18995
2018,12795,145,47.1,1,19995
2018,8250,145,38.2,2,34995
2019,5859,145,47.9,1.6,23995
2019,8235,145,44.1,2,37995
2019,5356,145,40.9,2,35995
2019,5565,145,47.9,2,34995
2017,13122,145,52.3,1.4,16498
2019,2940,145,39.2,1.5,26495
2016,26500,200,47.1,2,21995
2020,1100,145,40.4,3,52995
2018,24408,145,40.4,2,30995
2020,2200,145,28.8,2.9,69995
2020,500,145,38.7,3,51995
2016,47600,145,56.5,2,21995
2018,17252,145,56.5,1.5,22995
2017,49287,145,62.8,2,19945
2017,47446,145,62.8,2,22945
2017,14589,30,65.7,2,22990
2016,41279,0,74.3,2,13995
2018,3893,145,39.2,4,60995
2017,3338,145,50.4,3,38995
2018,4286,145,34,3,42995
2018,22913,145,56.5,2,28995
2019,4125,145,38.2,2,36995
2019,4000,145,31.7,2,34995
2019,5123,145,38.2,2,38495
2019,5000,145,40.9,3,43495
2019,6500,145,46.3,2,34995
2017,29832,145,34,3,35995
2017,11125,125,50.4,1.4,21495
2019,11565,145,38.2,2,36995
2019,10434,145,42.2,1.5,22995
2016,61332,20,68.9,2,11990
2016,22669,30,57.6,1.4,11498
2016,14419,145,52.3,2,19498
2015,37458,30,55.4,1.4,10698
2014,23015,20,60.1,1.4,11998
2016,26784,150,54.3,2,22500
2019,7256,145,38.2,2,35995
2016,24256,145,47.1,1.8,17995
2018,11047,145,56.5,2,28995
2017,19444,125,57.6,2,22995
2017,30123,125,51.4,1.4,17995
2019,7422,145,39.2,2,25995
2016,40688,160,42.8,2,24495
2019,5454,145,30.7,2,38995
2019,12785,145,42.8,1.5,19995
2019,7486,145,39.2,3,42995
2019,9256,145,45.6,2,36995
2019,13690,145,47.9,2,29995
2016,25125,160,50.4,2,20495
2019,6400,145,38.2,2,34995
2019,3265,145,47.1,1,19495
2017,17680,145,42.2,2,22995
2016,38502,30,57.6,1.4,11995
2016,36276,30,55.4,1.4,12995
2017,23437,300,39.2,4,49995
2017,20364,145,56.5,2,25995
2016,22606,30,57.6,1.4,11995
2020,100,150,39.2,2,29995
2019,8503,150,33.6,2.9,52995
2019,1296,150,34.5,2,28995
2016,26307,125,60.1,2,16995
2016,34685,200,47.9,3,33995
2016,34728,125,57.6,2,18995
2017,24427,145,55.4,1.4,14995
2017,16763,145,55.4,1.4,12995
2017,38484,145,55.4,1,15995
2017,16837,145,39.2,4,52995
2017,33523,145,58.9,2,19995
2017,6402,145,52.3,1.4,17298
2016,21944,125,49.6,2,15998
2015,19383,165,46.3,2,16498
2019,19118,145,47.9,2,25998
2019,4436,150,32.1,2,38995
2019,5978,150,30.7,4,83995
2019,2235,150,49.6,1,19995
2016,52496,160,50.4,2,16995
2016,52255,30,61.4,2,18350
2018,19686,145,68.9,1.6,15590
2016,26705,200,47.9,3,12500
2016,26705,30,58.9,1.4,12500
2018,18120,145,57.7,1.4,12500
2016,11966,145,47.9,1.4,18000
2016,34728,30,57.6,1.4,14500
2018,30547,145,70.6,1.6,16995
2015,72406,20,68.9,2,13795
2017,52822,145,64.2,2,19995
2015,70228,145,54.3,3,18990
2017,21637,20,67.3,2,15795
2014,52006,145,54.3,2,12595
2016,28994,160,50.4,2,20495
2018,30,145,39.2,3,37995
2019,7093,145,38.2,2,35995
2020,1934,145,32.5,2,35495
2019,4708,145,49.6,2,28995
2019,4304,145,37.7,2,38995
2017,9256,145,52.3,1.4,19495
2018,11403,145,38.2,1.5,27995
2019,1952,145,44.1,1,23995
2019,8060,145,37.7,3,41995
2018,7415,145,47.9,2,31700
2018,9756,145,37.7,3,42000
2018,9102,145,51.4,3,33500
2018,6002,145,38.2,2,31000
2018,6591,145,33.2,3,45000
2019,1000,145,49.6,1.6,22495
2019,5450,145,44.8,1.5,21995
2019,1000,145,46.3,2,29809
2019,1000,145,40.4,2,31995
2016,23596,145,48.7,2,18000
2018,11719,145,39.2,4,55500
2019,3185,145,39.2,2,31500
2019,8744,145,39.2,2,30995
2019,238,145,47.9,2,32250
2019,4693,145,47.1,2,31695
2016,28186,145,52.3,2,19000
2016,37000,145,54.3,2,16995
2017,13555,30,55.4,1.4,14695
2016,31031,235,42.2,3,31495
2016,34500,160,49.6,2,17395
2019,6412,145,39.2,2,33995
2017,14500,20,60.1,1.4,17500
2017,24857,0,76.3,1.6,11495
2019,2394,145,50.4,2,32494
2019,1000,145,39.2,2,36202
2019,1000,145,38.2,2,37395
2019,1000,145,50.4,2,31000
2018,10296,145,50.4,3,37000
2018,6629,145,42.2,1.5,20000
2019,6768,145,74.3,2,26495
2019,5363,145,39.8,2,23995
2019,4288,145,38.2,3,42500
2014,88130,30,64.2,2,7898
2017,17927,145,39.2,4,50000
2019,6452,145,40.4,2,29000
2019,6112,145,38.7,3,41495
2019,7447,145,47.9,2,25995
2019,4326,145,38.2,2,35995
2019,5558,145,33.6,3,49995
2019,2408,145,50.4,2,31500
2019,4430,145,40.9,1.5,23995
2019,1000,145,49.6,1.6,23374
2019,1000,145,49.6,1.6,22495
2016,8000,0,67.3,1,11495
2017,29885,30,65.7,2,19995
2017,14160,145,68.9,1.6,17695
2019,21480,145,48.7,2,27995
2019,6606,145,36.2,3,46000
2017,12147,145,40.4,2,23998
2017,29998,20,61.4,1.4,12798
2016,22168,145,47.9,1.4,17698
2016,24242,0,67.3,1,10998
2017,18389,145,57.7,1.5,19698
2016,31759,30,61.4,2,17298
2019,12853,145,38.2,2,24998
2019,13009,145,38.2,2,24998
2019,17,145,46.3,2,25998
2015,32125,125,57.6,2,14998
2015,17416,20,67.3,2,15998
2017,27049,145,67.3,2,19498
2014,81877,160,49.6,2,11950
2016,27692,145,49.6,1.4,16998
2015,35446,145,54.3,2,13995
2015,45000,30,64.2,2,16995
2018,6672,145,57.7,2,22590
2018,10005,145,50.4,1.4,20498
2019,2069,145,41.5,2,18998
2019,24608,145,39.8,2,25998
2017,36031,30,60.1,1.4,16495
2017,28752,150,58.9,1.4,13998
2014,58601,125,52.3,1.4,8498
2017,21113,145,55.4,1.5,19998
2015,66047,145,55.4,2,13998
2016,24405,20,64.2,2,17498
